id,app,storefront,rating,date,final_wish,title,content
Br-US-110,Brain.fm,US,3,2026-01-22,more variety / more soundscapes & music,Limited,"Let me preface by saying I am highly sensitive. I had hoped that the app could help me to focus more than traditional music. However, the music selection was limited, there was no option to provide feedback or make “sound” customizations other than setting a sensitivity level. For me, I found sounds like static and crinkling to be anxiety triggering and wish I could have filtered out layers of such sound as I can with other sleep soundscape apps. No value found for me, especially for a paid subscription required app."
Br-US-113,Brain.fm,US,1,2026-01-19,cheaper / pricing / free tier,Too expensive subscription,"I’ve paid the annual subscription ($50) for about 3 years now. A few days ago they doubled that price, and now EVERY day when I open the app, it says my sub is “expired” and I need to pick a new, more expensive plan. I can “restore purchases” on my profile and it says “you have 214 days left” - each day it is counting down, but I shouldn’t have to go through that step 200 more times to complete my subscription in peace. App is great, music is wonderful, but the PRICE IS TOO HIGH. I won’t be renewing, I just hope they fix the “expired” problem so I don’t have to restore purchase on a daily basis :("
Br-US-116,Brain.fm,US,1,2026-01-12,bugs/fixes (stability wishes),"Music great, app terrible",Please please fix the playback error problem when I have a song saved in offline and I try to access it from another device or after replacing my iPhone. Some songs just always throw that error. Seems trivial but I get that error multiple times per day
Br-US-133,Brain.fm,US,5,2025-11-24,customization / mix-your-own / controls,Serious focus,It really makes a difference for me to balance my crazy. I really can focus and concentrate better. I wish though they’d come up with an AI mode that would automatically harmonize isochrinic tones w my choice of music. But I totally  love it as is as well.
Br-US-138,Brain.fm,US,5,2025-11-05,desktop / mac / windows / web version,It has helped me so much,"My focus has definitely improved while using the app. I have also used it to help with meditation and relaxation. 

Your mileage may vary, but it is definitely worth trying out. 

My only complaint is that web app isn’t working behind my company VPN, so I have to use my phone."
Br-US-155,Brain.fm,US,5,2025-09-30,more variety / more soundscapes & music,Good for focus!,Huge help. Love this app. PLEASE add a randomizer. The same song sequence plays from the beginning every time I start using the app. This is a basic feature for music apps.
Br-US-158,Brain.fm,US,2,2025-09-23,customization / mix-your-own / controls,"It works, music’s great. App: horrible","I enjoy the sounds that really do help me. But the app is horrible. I cannot find anything and the filter function is not really existing. I don’t like the unplugged/classical music though. I’m a classical music buff, so they all sound cheap to me. But the rest is good. Alas, I can’t exclude certain genres from the playlist. The „neural function“ is great and helps!
But I can’t filter for the „neural function“ and the neural function labels are all falsely displayed. PLEASE fix your app, brain fm, please. I end up spending more time in the app than on my work."
Br-US-159,Brain.fm,US,4,2025-09-23,integration: watch / wearable / smart home / casting,Awesome App,"Love this app! It helps me focus for work, unwind, and sleep. My only criticism is that it doesn't have Bluetooth. So you can't play it louder on a better speaker. With that, I'd give it 10 stars!!!"
Br-US-161,Brain.fm,US,1,2025-09-22,bugs/fixes (stability wishes),Love but subscription won’t sync,"Love the app and the binaural beats, they’re amazing for focus. But I can’t use it because it keeps asking me to upgrade to Pro even though I’m already paying. Tried reinstalling and resubscribing with no luck. Please fix this bug!"
Br-US-164,Brain.fm,US,1,2025-09-15,bugs/fixes (stability wishes),Keeps crashing,"Every time I try to log in, the app crashes. Please fix this! I have no issues with it on a browser"
Br-US-177,Brain.fm,US,5,2025-07-25,more variety / more soundscapes & music,Suggestion for the Dev,"This is a great app and I  enjoying it so far. I have decided to replace my normal exercise playlist with biannual beats (BB) in hopes of a more even endorphin cycle. - In other words, instead of the highs and lows that come with traditional music due to being able to get more into certain songs.. using BB for a faster endorphin response, and “more even flow” - all that just to say it would be great to have a category for exercise. Thank you for your time, and your product."
Br-US-192,Brain.fm,US,4,2025-06-09,integration: watch / wearable / smart home / casting,Perfect except…,I love this app. Please make it available on the watch too! I like to leave my phone at home or hide it to stay productive it would be great to be able to play directly from the watch!
Br-US-213,Brain.fm,US,5,2025-04-04,more variety / more soundscapes & music,Beyond Impressed!!,I don’t really know where to begin. They have like everything. So many sounds and compositions. So many moods and even more ambience. I tried this with the intent of using it with my business… and now I want my family to use it for everything. Forget traditional music… this! This! So much variety! Just WOW! Beyond impressed! This is what I didn’t know I was missing.
Br-US-214,Brain.fm,US,5,2025-04-01,desktop / mac / windows / web version,Desktop App?,I LOVE Brain.fm but I like to use my headphones with my computer and have my phone put away. PLEASE make an app for the Microsoft store. It will help so many people!!
Br-US-218,Brain.fm,US,5,2025-03-17,more variety / more soundscapes & music,I use this app every day.,"I honestly still don’t know how “real” the science of it is. All I know is that I like the music and I find that it really works. I use almost all of the settings and I find that they really do aid and benefit whatever task I am trying to accomplish whether it’s creative writing, meditating, calming down for bedtime, or my personal favorite “light work” for those mindless, tedious administrative tasks that can be so boring. I am very easily distracted and for whatever reason when I have Brain FM going, I stay locked in to whatever task I set out to do. The timers are also super helpful. I can’t wait for them to add more songs and genres."
Br-US-230,Brain.fm,US,4,2025-02-17,quality / higher-fidelity audio,Mostly love,"I mostly love this app. It helps with my sleep and focus. I have major ADHD and for the most part I can function. 

My only complaint is there’s this fluttery sound that is on almost every track some days. And I can not get past it. I wish there was a way to turn it off"
Br-US-239,Brain.fm,US,1,2025-01-23,customization / mix-your-own / controls,Aggravating,"I answered the questions for preferences and the music it played grates on my nerves. No way to change preferences. Deleted 10 minutes in. Good concept, but not with with an app that is not user friendly."
Br-US-252,Brain.fm,US,3,2024-12-22,desktop / mac / windows / web version,Interval Timer Missing,"I use the desktop browser version of this app all the time, and find it extremely useful for staying focused and productive, particularly by using the interval pomodoro timer. However, despite both the desktop and Android versions of the app having the interval timer, it is inexplicably missing from the iOS app. I’m not sure why this, and honestly keeps me from using it on my Apple device."
Br-US-272,Brain.fm,US,4,2024-10-16,more variety / more soundscapes & music,Great for work and to wind down,I love the added boost in focus I get from Brain.fm at work. My only issues is that I wish there was a greater selection of electronic music. The selections to refresh and unwind are fantastic!
Br-DE-021,Brain.fm,DE,5,2025-11-02,cheaper / pricing / free tier,Amazing app!,"The app is really good, I always struggled concentrating while studying for uni. I really enjoyed using the app but I wish they would make it for free because university students can’t afford to pay for it."
Br-DE-035,Brain.fm,DE,4,2024-04-12,cheaper / pricing / free tier,Sehr gut aber zu teuer,"Die Klangmuster sind sehr gut ausgewählt. Bei anderer vergleichbarer Musik wird man eher schläfrig. Jedoch ist es leider zu teuer. Ich würde auch gern nur ein Teil Paket (zum Beispiel Deep work) nehmen, geht aber leider nicht.  Daher werde ich doch was anderes suchen"
Br-DE-039,Brain.fm,DE,5,2023-11-27,integration: watch / wearable / smart home / casting,Great app with one flaw,"I really enjoy this application, it will be an excellent replacement for my music app. Unfortunately I can’t integrate it with Siri, even thought there are buttons for it in a configuration, clicking on “Add a o Siri” has no effect whatsoever."
Br-DE-048,Brain.fm,DE,3,2022-08-28,customization / mix-your-own / controls,"Love it, but why no volume control?","I love brain.fm but i use it only in the browser version, since there is no volume control in the app. Can somebody explain this? And hopefully fix it soon?"
Br-DE-075,Brain.fm,DE,5,2019-11-23,bugs/fixes (stability wishes),The music is great. The App ist trash.,It has not been working on my Phone for over a month. It loads and quits. I have been using my IPad instead and today this doesn‘t work aswell. It buffers and then doesn‘t play the song. Please fix it.
Br-DE-080,Brain.fm,DE,2,2019-09-25,visuals / UI / navigation / simplicity,Please add horizontal orientation for iPads!,"The update was long due and it’s much better now, but please add horizontal orientation for iPads!"
Br-DE-112,Brain.fm,DE,1,2017-05-11,bugs/fixes (stability wishes),Disappointing,Often freezes in the middle of the session. Buffering is too bad. Please fix it!!
Br-DE-126,Brain.fm,DE,5,2016-12-02,bugs/fixes (stability wishes),Great app and service!,"Just got lucky on the last cyber Monday and bought the lifetime access for about $80.

Here is what I can tell about the service (web/app).
- Focus sessions help me at work
- Sleep sessions help me at night

The app needs a bit of tweaking but is overall well designed.

I wish I could mark sessions as my favorite to enjoy them later again.

4/5 app
4/5 web
5/5 sound effectiveness
5/5 supporter by the developers"
